gate_id,train_number,train_name,estimated_crossing_time,prev_station_code,next_station_code,runs_on_days
node/269201602,16605,Mangala Lakshadweep Exp,10:25,WH,CLT,MTWTFSS
node/269201602,12625,Kerala Express,12:16,WH,CLT,MTWTFSS
node/269201602,16345,Netravati Express,13:56,WH,CLT,MTWTFSS
node/269201602,12601,Mangala Express,15:07,WH,CLT,MT-TFSS
node/269201602,16525,Kanyakumari Express,17:12,WH,CLT,MTWTFSS
node/269201602,12695,Trivandrum Rajdhani,17:41,WH,CLT,M-W-F--
node/269201602,22113,Kochuveli Superfast,19:55,WH,CLT,MTWTFSS
node/269201602,16859,Malabar Express,22:12,WH,CLT,MTWTFSS
node/269201602,12617,Mangala Express,23:46,WH,CLT,-T-T---
node/269201602,16527,Guruvayur Express,01:26,WH,CLT,MTWTFSS
node/269201602,12511,Rapti Sagar Express,02:37,WH,CLT,--W--S-
node/269201602,16335,Nagercoil Express,04:36,WH,CLT,MTWTFSS
node/269201602,12081,Jan Shatabdi Express,10:40,WH,CLT,MTWTF--
node/269201602,16301,Venad Express,13:12,WH,CLT,MTWTFSS
node/269201602,12623,Thiruvananthapuram Mail,15:46,WH,CLT,MTWTFSS
node/269201602,16303,Vanchinad Express,19:18,WH,CLT,MTWTFSS
node/269201602,16349,Mangalore Express,22:56,WH,CLT,MTWTFSS
node/269201602,56651,CAN-CLT Passenger,08:19,WH,CLT,MTWTFSS
node/269201602,56654,CAN-CLT Passenger,11:19,WH,CLT,MTWTFSS
node/269201602,56657,CAN-CLT Passenger,14:19,WH,CLT,MTWTFSS
node/269201602,56660,CAN-CLT Passenger,17:19,WH,CLT,MTWTFSS
node/269201602,56663,CAN-CLT Passenger,20:19,WH,CLT,MTWTFSS
node/269201602,16606,Mangala Lakshadweep Exp,14:20,CLT,WH,MTWTFSS
node/269201602,12626,Kerala Express,16:33,CLT,WH,MTWTFSS
node/269201602,16346,Netravati Express,18:23,CLT,WH,MTWTFSS
node/269201602,12602,Mangala Express,19:45,CLT,WH,MT-TFSS
node/269201602,16526,Kanyakumari Express,22:26,CLT,WH,MTWTFSS
node/269201602,12696,Trivandrum Rajdhani,20:38,CLT,WH,M-W-F--
node/269201602,22114,Kochuveli Superfast,23:50,CLT,WH,MTWTFSS
node/269201602,16860,Malabar Express,03:26,CLT,WH,MTWTFSS
node/269201602,12618,Mangala Express,04:03,CLT,WH,-T-T---
node/269201602,16528,Guruvayur Express,05:53,CLT,WH,MTWTFSS
node/269201602,12512,Rapti Sagar Express,06:45,CLT,WH,--W--S-
node/269201602,16336,Nagercoil Express,09:45,CLT,WH,MTWTFSS
node/269201602,12082,Jan Shatabdi Express,15:26,CLT,WH,MTWTF--
node/269201602,16302,Venad Express,19:04,CLT,WH,MTWTFSS
node/269201602,12624,Thiruvananthapuram Mail,20:40,CLT,WH,MTWTFSS
node/269201602,16304,Vanchinad Express,01:16,CLT,WH,MTWTFSS
node/269201602,16350,Mangalore Express,04:30,CLT,WH,MTWTFSS
node/269201602,56671,CLT-CAN Passenger,06:33,CLT,WH,MTWTFSS
node/269201602,56674,CLT-CAN Passenger,09:33,CLT,WH,MTWTFSS
node/269201602,56677,CLT-CAN Passenger,12:33,CLT,WH,MTWTFSS
node/269201602,56680,CLT-CAN Passenger,15:33,CLT,WH,MTWTFSS
node/269201602,56683,CLT-CAN Passenger,18:33,CLT,WH,MTWTFSS
node/292318817,16605,Mangala Lakshadweep Exp,10:12,ETR,WH,MTWTFSS
node/292318817,12625,Kerala Express,12:02,ETR,WH,MTWTFSS
node/292318817,16345,Netravati Express,13:42,ETR,WH,MTWTFSS
node/292318817,12601,Mangala Express,14:54,ETR,WH,MT-TFSS
node/292318817,16525,Kanyakumari Express,16:57,ETR,WH,MTWTFSS
node/292318817,12695,Trivandrum Rajdhani,17:30,ETR,WH,M-W-F--
node/292318817,22113,Kochuveli Superfast,19:42,ETR,WH,MTWTFSS
node/292318817,16859,Malabar Express,21:57,ETR,WH,MTWTFSS
node/292318817,12617,Mangala Express,23:32,ETR,WH,-T-T---
node/292318817,16527,Guruvayur Express,01:12,ETR,WH,MTWTFSS
node/292318817,12511,Rapti Sagar Express,02:24,ETR,WH,--W--S-
node/292318817,16335,Nagercoil Express,04:22,ETR,WH,MTWTFSS
node/292318817,12081,Jan Shatabdi Express,10:27,ETR,WH,MTWTF--
node/292318817,16301,Venad Express,12:57,ETR,WH,MTWTFSS
node/292318817,12623,Thiruvananthapuram Mail,15:32,ETR,WH,MTWTFSS
node/292318817,16303,Vanchinad Express,19:03,ETR,WH,MTWTFSS
node/292318817,16349,Mangalore Express,22:42,ETR,WH,MTWTFSS
node/292318817,56651,CAN-CLT Passenger,08:03,ETR,WH,MTWTFSS
node/292318817,56654,CAN-CLT Passenger,11:03,ETR,WH,MTWTFSS
node/292318817,56657,CAN-CLT Passenger,14:03,ETR,WH,MTWTFSS
node/292318817,56660,CAN-CLT Passenger,17:03,ETR,WH,MTWTFSS
node/292318817,56663,CAN-CLT Passenger,20:03,ETR,WH,MTWTFSS
node/292318817,16606,Mangala Lakshadweep Exp,14:33,WH,ETR,MTWTFSS
node/292318817,12626,Kerala Express,16:47,WH,ETR,MTWTFSS
node/292318817,16346,Netravati Express,18:37,WH,ETR,MTWTFSS
node/292318817,12602,Mangala Express,19:59,WH,ETR,MT-TFSS
node/292318817,16526,Kanyakumari Express,22:41,WH,ETR,MTWTFSS
node/292318817,12696,Trivandrum Rajdhani,20:49,WH,ETR,M-W-F--
node/292318817,22114,Kochuveli Superfast,00:03,WH,ETR,MTWTFSS
node/292318817,16860,Malabar Express,03:41,WH,ETR,MTWTFSS
node/292318817,12618,Mangala Express,04:17,WH,ETR,-T-T---
node/292318817,16528,Guruvayur Express,06:07,WH,ETR,MTWTFSS
node/292318817,12512,Rapti Sagar Express,06:59,WH,ETR,--W--S-
node/292318817,16336,Nagercoil Express,09:59,WH,ETR,MTWTFSS
node/292318817,12082,Jan Shatabdi Express,15:39,WH,ETR,MTWTF--
node/292318817,16302,Venad Express,19:19,WH,ETR,MTWTFSS
node/292318817,12624,Thiruvananthapuram Mail,20:54,WH,ETR,MTWTFSS
node/292318817,16304,Vanchinad Express,01:32,WH,ETR,MTWTFSS
node/292318817,16350,Mangalore Express,04:45,WH,ETR,MTWTFSS
node/292318817,56671,CLT-CAN Passenger,06:48,WH,ETR,MTWTFSS
node/292318817,56674,CLT-CAN Passenger,09:48,WH,ETR,MTWTFSS
node/292318817,56677,CLT-CAN Passenger,12:48,WH,ETR,MTWTFSS
node/292318817,56680,CLT-CAN Passenger,15:48,WH,ETR,MTWTFSS
node/292318817,56683,CLT-CAN Passenger,18:48,WH,ETR,MTWTFSS
node/304986474,66601,TVC-PASA Passenger,07:27,BRAM,NYY,MTWTFSS
node/304986474,66605,TVC-PASA Passenger,11:27,BRAM,NYY,MTWTFSS
node/304986474,66609,TVC-PASA Passenger,15:27,BRAM,NYY,MTWTFSS
node/304986474,66613,TVC-PASA Passenger,19:27,BRAM,NYY,MTWTFSS
node/304986474,66611,PASA-TVC Passenger,07:56,NYY,BRAM,MTWTFSS
node/304986474,66615,PASA-TVC Passenger,11:56,NYY,BRAM,MTWTFSS
node/304986474,66619,PASA-TVC Passenger,15:56,NYY,BRAM,MTWTFSS
node/304986474,66623,PASA-TVC Passenger,19:56,NYY,BRAM,MTWTFSS
node/304986491,66601,TVC-PASA Passenger,07:20,NEM,BRAM,MTWTFSS
node/304986491,66605,TVC-PASA Passenger,11:20,NEM,BRAM,MTWTFSS
node/304986491,66609,TVC-PASA Passenger,15:20,NEM,BRAM,MTWTFSS
node/304986491,66613,TVC-PASA Passenger,19:20,NEM,BRAM,MTWTFSS
node/304986491,66611,PASA-TVC Passenger,08:03,BRAM,NEM,MTWTFSS
node/304986491,66615,PASA-TVC Passenger,12:03,BRAM,NEM,MTWTFSS
node/304986491,66619,PASA-TVC Passenger,16:03,BRAM,NEM,MTWTFSS
node/304986491,66623,PASA-TVC Passenger,20:03,BRAM,NEM,MTWTFSS
node/304986501,66601,TVC-PASA Passenger,07:16,NEM,BRAM,MTWTFSS
node/304986501,66605,TVC-PASA Passenger,11:16,NEM,BRAM,MTWTFSS
node/304986501,66609,TVC-PASA Passenger,15:16,NEM,BRAM,MTWTFSS
node/304986501,66613,TVC-PASA Passenger,19:16,NEM,BRAM,MTWTFSS
node/304986501,66611,PASA-TVC Passenger,08:07,BRAM,NEM,MTWTFSS
node/304986501,66615,PASA-TVC Passenger,12:07,BRAM,NEM,MTWTFSS
node/304986501,66619,PASA-TVC Passenger,16:07,BRAM,NEM,MTWTFSS
node/304986501,66623,PASA-TVC Passenger,20:07,BRAM,NEM,MTWTFSS
node/304986502,66601,TVC-PASA Passenger,07:16,NEM,BRAM,MTWTFSS
node/304986502,66605,TVC-PASA Passenger,11:16,NEM,BRAM,MTWTFSS
node/304986502,66609,TVC-PASA Passenger,15:16,NEM,BRAM,MTWTFSS
node/304986502,66613,TVC-PASA Passenger,19:16,NEM,BRAM,MTWTFSS
node/304986502,66611,PASA-TVC Passenger,08:07,BRAM,NEM,MTWTFSS
node/304986502,66615,PASA-TVC Passenger,12:07,BRAM,NEM,MTWTFSS
node/304986502,66619,PASA-TVC Passenger,16:07,BRAM,NEM,MTWTFSS
node/304986502,66623,PASA-TVC Passenger,20:07,BRAM,NEM,MTWTFSS
node/305995842,12081,Jan Shatabdi Express,16:37,KRPP,ETM,MTWTF--
node/305995842,16301,Venad Express,20:06,KRPP,ETM,MTWTFSS
node/305995842,12623,Thiruvananthapuram Mail,22:09,KRPP,ETM,MTWTFSS
node/305995842,16303,Vanchinad Express,02:20,KRPP,ETM,MTWTFSS
node/305995842,16349,Mangalore Express,05:31,KRPP,ETM,MTWTFSS
node/305995842,66501,ERS-KTYM Passenger,07:42,KRPP,ETM,MTWTFSS
node/305995842,66503,ERS-KTYM Passenger,09:42,KRPP,ETM,MTWTFSS
node/305995842,66505,ERS-KTYM Passenger,11:42,KRPP,ETM,MTWTFSS
node/305995842,66507,ERS-KTYM Passenger,13:42,KRPP,ETM,MTWTFSS
node/305995842,66509,ERS-KTYM Passenger,15:42,KRPP,ETM,MTWTFSS
node/305995842,66511,ERS-KTYM Passenger,17:42,KRPP,ETM,MTWTFSS
node/305995842,66513,ERS-KTYM Passenger,19:42,KRPP,ETM,MTWTFSS
node/305995842,66515,ERS-KTYM Passenger,21:42,KRPP,ETM,MTWTFSS
node/305995842,12082,Jan Shatabdi Express,09:29,ETM,KRPP,MTWTF--
node/305995842,16302,Venad Express,12:10,ETM,KRPP,MTWTFSS
node/305995842,12624,Thiruvananthapuram Mail,14:17,ETM,KRPP,MTWTFSS
node/305995842,16304,Vanchinad Express,18:15,ETM,KRPP,MTWTFSS
node/305995842,16350,Mangalore Express,21:56,ETM,KRPP,MTWTFSS
node/305995842,66521,KTYM-ERS Passenger,07:01,ETM,KRPP,MTWTFSS
node/305995842,66523,KTYM-ERS Passenger,09:01,ETM,KRPP,MTWTFSS
node/305995842,66525,KTYM-ERS Passenger,11:01,ETM,KRPP,MTWTFSS
node/305995842,66527,KTYM-ERS Passenger,13:01,ETM,KRPP,MTWTFSS
node/305995842,66529,KTYM-ERS Passenger,15:01,ETM,KRPP,MTWTFSS
node/305995842,66531,KTYM-ERS Passenger,17:01,ETM,KRPP,MTWTFSS
node/305995842,66533,KTYM-ERS Passenger,19:01,ETM,KRPP,MTWTFSS
node/305995842,66535,KTYM-ERS Passenger,21:01,ETM,KRPP,MTWTFSS
node/306010326,16605,Mangala Lakshadweep Exp,14:02,KUC,AFK,MTWTFSS
node/306010326,12625,Kerala Express,16:11,KUC,AFK,MTWTFSS
node/306010326,16345,Netravati Express,17:58,KUC,AFK,MTWTFSS
node/306010326,12601,Mangala Express,18:54,KUC,AFK,MT-TFSS
node/306010326,16525,Kanyakumari Express,21:28,KUC,AFK,MTWTFSS
node/306010326,12695,Trivandrum Rajdhani,20:41,KUC,AFK,M-W-F--
node/306010326,22113,Kochuveli Superfast,23:32,KUC,AFK,MTWTFSS
node/306010326,16859,Malabar Express,02:28,KUC,AFK,MTWTFSS
node/306010326,12617,Mangala Express,03:41,KUC,AFK,-T-T---
