train_number,day_of_week,month,scheduled_hour,prev_station_delay,distance_from_origin,is_express,delay_minutes
12082,3,11,11,7.4,482.9,1,7.6
66303,4,2,15,8.9,751.5,0,11.5
12625,0,1,13,22.4,46.9,1,25.5
12625,6,4,6,3.7,689.4,1,16.8
66302,1,4,18,22.1,549.8,0,15.3
56361,3,2,9,10.1,174.3,0,23.2
16629,5,4,17,7.7,584.5,1,6.5
66302,4,2,18,5.8,664.7,0,12.6
12602,4,1,10,8.2,344.5,1,10.3
16329,1,7,12,22.3,732.8,1,22.6
16329,2,12,11,3.6,227.0,1,11.6
12601,6,11,12,3.6,571.4,1,3.1
16526,3,4,8,4.5,206.9,1,4.0
12076,1,9,9,3.8,370.7,1,9.5
66304,3,9,10,10.2,726.4,0,10.4
16336,5,5,4,4.5,104.7,1,0.0
16336,3,1,20,1.8,210.6,1,6.3
16526,2,1,5,1.3,407.1,1,4.0
12076,4,12,9,15.7,201.2,1,8.1
16329,3,2,9,20.9,325.1,1,13.3
16525,4,3,23,1.8,267.5,1,8.8
12082,3,9,4,14.9,324.1,1,14.7
56361,6,10,6,0.0,190.6,0,4.0
16606,5,12,8,13.9,721.3,1,8.1
16650,3,8,4,3.2,517.2,1,7.9
16650,5,9,6,0.0,779.2,1,3.3
16336,3,1,7,8.2,197.4,1,7.1
16526,0,12,22,4.6,512.7,1,6.9
16334,2,11,5,8.6,286.6,1,12.2
16525,2,4,6,0.0,617.2,1,2.2
12431,2,12,12,7.6,762.9,1,7.3
66301,6,5,4,3.9,260.4,0,5.6
16334,5,8,21,37.0,495.9,1,49.8
16526,0,9,14,5.1,570.0,1,10.0
12626,3,10,10,21.4,406.2,1,21.9
12625,2,7,18,2.8,306.7,1,0.4
66303,1,10,20,27.9,39.5,0,28.5
66302,3,12,15,9.6,502.1,0,13.1
66304,3,2,13,16.8,265.1,0,24.5
16329,1,5,12,0.0,553.9,1,1.5
66303,0,8,16,80.3,231.1,0,76.0
66304,2,12,19,4.7,135.3,0,6.2
16346,0,5,13,25.6,759.8,1,21.6
12626,3,8,19,3.2,517.5,1,6.3
56361,2,12,4,17.3,372.0,0,13.1
16629,2,12,16,0.0,179.5,1,10.3
16334,4,10,13,11.5,28.4,1,10.2
12626,2,8,7,56.3,340.2,1,45.8
16650,0,3,19,3.9,110.9,1,8.9
12625,0,7,16,4.2,594.5,1,22.5
66303,4,11,22,1.2,317.5,0,0.0
12601,6,4,22,5.1,399.5,1,13.3
66302,3,5,19,4.7,633.8,0,1.6
16329,2,7,14,45.2,567.6,1,44.8
12431,6,8,13,12.0,323.4,1,24.7
16334,4,1,23,23.1,197.0,1,15.3
56362,4,12,10,31.0,345.1,0,47.9
66301,3,8,12,19.7,597.9,0,16.4
16606,5,5,9,33.7,643.7,1,36.4
66302,2,12,8,14.2,209.9,0,21.4
12602,6,1,6,9.6,721.9,1,0.0
16334,1,12,7,0.4,376.3,1,8.2
66301,4,12,19,48.4,138.5,0,57.0
56361,2,5,4,19.5,624.3,0,9.6
66303,2,11,20,13.0,672.3,0,15.4
12431,3,1,8,57.7,799.8,1,66.3
12601,0,1,22,0.0,227.0,1,1.7
16650,2,2,15,21.4,654.9,1,37.5
12602,6,5,17,0.0,566.2,1,12.2
56362,6,2,23,12.0,442.5,0,0.4
16526,4,4,13,8.0,742.0,1,9.0
66302,1,11,14,2.6,199.7,0,0.0
16334,3,8,6,10.3,700.7,1,14.7
66302,4,2,13,0.0,149.8,0,1.2
12076,0,10,16,2.2,264.1,1,12.0
16604,6,1,7,9.3,646.9,1,9.3
66303,5,10,17,17.9,375.4,0,19.7
12602,6,11,18,12.0,34.1,1,16.9
66304,4,12,13,14.8,455.5,0,30.9
12626,3,9,7,20.5,290.5,1,20.6
12602,0,12,22,1.3,309.2,1,7.8
12626,5,5,4,5.1,16.0,1,1.6
66304,0,7,6,15.9,424.4,0,9.5
16604,3,6,20,24.9,397.7,1,30.9
56362,4,12,8,2.3,157.8,0,8.7
12602,0,10,17,15.4,238.0,1,2.2
16606,5,2,13,3.8,443.4,1,8.9
16329,0,1,12,8.1,480.6,1,6.5
12625,1,5,14,4.9,751.3,1,13.3
16334,2,9,8,4.2,169.3,1,8.8
16346,0,10,21,0.9,655.1,1,6.1
66304,6,1,20,11.5,720.7,0,15.5
56362,5,6,6,8.6,505.9,0,16.6
66301,5,7,7,38.1,798.2,0,40.6
16346,5,2,13,0.9,400.2,1,14.9
12626,3,8,18,7.1,639.9,1,10.6
56362,2,4,7,22.4,575.8,0,22.3
12431,6,10,17,15.6,495.8,1,21.7
16334,3,11,15,20.2,90.7,1,27.0
16336,5,3,17,30.9,748.1,1,29.3
66302,6,9,12,28.7,172.4,0,25.8
16604,5,2,10,10.8,284.1,1,5.7
56362,5,8,10,0.0,140.8,0,6.1
56361,4,1,10,15.2,780.7,0,21.5
16334,0,7,4,4.6,254.9,1,13.0
16526,4,8,22,7.9,61.9,1,23.7
56361,5,6,22,4.6,132.6,0,7.1
16629,2,2,4,1.3,30.1,1,1.7
66304,2,8,11,22.3,92.2,0,40.2
12076,2,8,17,28.0,486.5,1,23.6
56361,6,10,10,24.0,591.4,0,38.5
56361,1,1,18,10.5,503.6,0,10.0
66301,4,5,9,12.2,621.3,0,13.2
12601,6,1,21,0.0,27.8,1,6.0
66303,5,11,17,6.6,787.7,0,19.1
16526,4,9,9,5.0,665.5,1,11.8
12625,4,9,10,24.6,462.9,1,38.0
12076,3,6,14,4.5,155.7,1,1.3
12082,2,6,5,21.0,323.4,1,38.0
12602,3,3,6,22.7,674.8,1,13.1
12076,4,9,12,5.2,287.7,1,19.3
16650,2,2,8,20.6,11.8,1,32.5
16526,4,1,13,9.5,555.5,1,12.1
16329,5,6,11,8.2,207.2,1,8.6
12601,6,5,10,28.3,244.9,1,27.5
66301,6,3,21,17.9,422.7,0,5.2
12626,1,3,8,10.9,428.9,1,9.8
16346,4,6,16,28.0,504.5,1,33.9
16650,2,7,17,27.2,287.1,1,22.4
12625,6,9,13,0.0,82.4,1,3.1
56361,3,2,8,0.0,43.3,0,0.0
16346,3,11,8,10.4,631.2,1,0.8
12082,3,4,11,7.0,754.8,1,12.5
12076,0,10,12,14.7,157.3,1,10.0
16526,2,3,9,3.7,502.1,1,12.4
16336,2,9,5,20.6,691.1,1,23.9
12602,5,8,8,12.3,48.5,1,15.5
56362,1,3,11,12.3,545.6,0,16.8
16334,3,1,19,25.1,569.6,1,29.4
12431,3,7,8,21.5,705.9,1,36.3
16604,4,7,21,22.9,656.2,1,24.9
16526,6,2,16,5.7,626.1,1,4.1
12602,5,5,7,17.5,147.3,1,10.7
16526,1,6,4,7.4,55.8,1,0.0
66301,4,12,10,26.2,61.8,0,37.6
66304,1,2,17,38.8,380.1,0,64.0
16604,3,2,18,12.5,547.6,1,13.3
16525,4,11,23,7.7,324.1,1,3.2
12602,1,3,20,9.8,524.8,1,7.3
12601,0,1,11,16.2,619.0,1,19.6
66302,3,10,6,11.0,156.5,0,17.6
66301,3,9,9,8.7,188.2,0,0.0
16334,2,1,11,12.9,377.0,1,14.7
12431,0,8,14,9.6,389.6,1,3.2
66301,0,10,11,4.7,17.7,0,2.6
16606,4,4,10,7.7,114.8,1,12.2
66304,3,1,11,18.4,512.8,0,22.7
16334,1,12,23,10.0,278.2,1,19.6
66303,1,3,12,14.9,139.6,0,14.7
12626,2,10,22,7.0,780.9,1,12.8
56362,3,2,9,9.6,578.2,0,8.5
16629,2,3,18,11.2,213.6,1,11.9
66301,4,4,15,20.4,616.5,0,15.7
66302,1,4,5,22.0,482.2,0,18.3
56361,4,1,6,6.3,623.0,0,18.1
12076,6,5,8,8.4,64.6,1,0.0
12082,0,4,5,10.1,85.3,1,7.4
16329,6,1,11,5.6,483.0,1,4.4
66303,5,10,13,5.9,538.8,0,5.3
66303,3,12,14,18.2,591.8,0,21.5
12602,6,6,15,2.1,436.5,1,0.3
16606,6,3,9,6.2,152.2,1,5.4
66301,4,2,14,2.4,23.7,0,8.5
16604,1,7,15,0.4,430.5,1,6.3
66302,0,7,11,10.3,133.4,0,0.6
66304,1,11,13,5.9,23.8,0,6.9
16334,0,4,4,30.0,484.5,1,34.1
12076,1,6,12,66.1,694.5,1,61.1
16604,3,2,9,16.0,268.4,1,16.0
56362,4,11,4,4.1,105.0,0,5.1
12082,6,5,22,0.3,317.0,1,2.6
16604,2,8,17,24.2,517.6,1,25.1
12076,5,12,15,0.0,127.7,1,3.1
66304,5,2,15,2.2,764.9,0,6.0
16604,2,4,16,0.0,287.8,1,0.0
12602,3,3,11,7.3,255.9,1,0.9
16604,6,12,13,1.9,641.8,1,7.2
16346,3,4,10,8.2,654.4,1,19.4
16336,1,9,18,11.0,492.7,1,14.5
16329,3,2,22,11.7,682.4,1,14.5
66304,1,5,18,32.0,195.8,0,41.4
16329,6,3,10,3.5,441.9,1,17.4
12076,2,7,21,10.3,329.4,1,16.5
12082,4,4,11,4.0,519.8,1,3.7
12082,3,1,5,5.1,539.0,1,0.0
16650,5,12,6,0.0,160.4,1,0.0
66303,3,10,7,23.8,769.7,0,17.6
66304,3,1,19,37.3,535.3,0,26.6
16334,5,5,23,16.9,742.3,1,11.0
56361,6,1,19,2.3,410.4,0,2.9
12626,1,9,5,7.2,750.2,1,2.7
16346,1,7,9,16.1,736.3,1,16.7
12602,0,10,9,10.1,655.8,1,9.9
16525,6,4,17,0.4,73.9,1,11.5
66301,1,10,5,42.3,114.7,0,28.8
66303,5,4,6,25.9,762.7,0,20.8
16346,0,4,16,25.3,444.1,1,19.4
56361,4,12,9,0.0,10.3,0,0.0
16329,2,2,13,2.0,177.3,1,10.6
66304,2,9,6,28.0,69.0,0,30.1
16606,3,4,10,4.2,190.8,1,0.0
12431,6,2,8,2.8,710.4,1,0.0
12601,6,5,8,2.7,18.7,1,6.8
12082,4,1,16,0.0,19.6,1,2.2
16604,6,5,23,0.3,220.2,1,5.0
56361,2,9,23,18.6,689.1,0,15.5
12076,3,1,13,6.4,745.0,1,12.6
16334,2,6,11,23.7,189.3,1,28.7
16334,4,8,14,14.7,530.6,1,19.4
16334,1,4,14,25.4,776.9,1,17.8
16329,5,6,11,2.7,219.4,1,7.9
12076,6,2,6,8.8,105.9,1,17.8
56361,1,5,7,79.0,241.3,0,80.0
12076,2,10,18,9.1,97.5,1,0.0
56361,5,4,23,0.0,106.0,0,7.9
66304,6,1,15,11.4,736.0,0,6.7
