gate_id,display_name,lat,lon,road_name,nearest_place,district
node/269201602,LC near Vellayil (P. T. Usha Road),11.2597645,75.7760998,P. T. Usha Road,Vellayil,Kozhikode
node/288413246,LC near Thavakkara (thane to kannur city),11.8648783,75.3808271,thane to kannur city,Thavakkara,Kannur
node/291551682,LC near Vengara,12.0299792,75.2465881,,Vengara,Kannur
node/292318817,LC near Elathur,11.3446613,75.7411649,,Elathur,Kozhikode
node/292321535,LC near Varam (NH 66),11.8643107,75.4079725,NH 66,Varam,Kannur
node/292321578,LC near Thavakkara (thane to kannur city),11.864858,75.3789463,thane to kannur city,Thavakkara,Kannur
node/299088690,LC near Kumbalam,9.9027031,76.3129224,,Kumbalam,Ernakulam
node/304281383,LC near Kanhangad (Puthiyotta-Kallooravi Road),12.3173749,75.0859526,Puthiyotta-Kallooravi Road,Kanhangad,Kasaragod
node/304986474,LC near Perumpazhuthoor,8.4191458,77.0672086,,Perumpazhuthoor,Thiruvananthapuram
node/304986491,LC near Balaramapuram,8.4400163,77.0393905,,Balaramapuram,Thiruvananthapuram
node/304986501,LC near Balaramapuram,8.4446561,77.0198401,,Balaramapuram,Thiruvananthapuram
node/304986502,LC near Balaramapuram,8.4449214,77.0193531,,Balaramapuram,Thiruvananthapuram
node/305995842,LC near Kothanalloor (Kothanalloor Chamakkala Road),9.7152765,76.5251795,Kothanalloor Chamakkala Road,Kothanalloor,Kottayam
node/306007102,LC near Thrippunithura,9.9735845,76.336358,,Thrippunithura,Ernakulam
node/306007155,LC near Thrippunithura,9.9734909,76.3427408,,Thrippunithura,Ernakulam
node/306007160,LC near Thrippunithura,9.9735579,76.3400289,,Thrippunithura,Ernakulam
node/306010326,LC near Kothakulangara,10.1972308,76.3743748,,Kothakulangara,Ernakulam
node/306010331,LC near Kothakulangara (Angamayl Road),10.1854052,76.3771831,Angamayl Road,Kothakulangara,Ernakulam
node/306010355,LC near Aluva (Aluva Kalady Road),10.120786,76.3635551,Aluva Kalady Road,Aluva,Ernakulam
node/306010376,LC near Aluva,10.0811031,76.3398699,,Aluva,Ernakulam
node/306148826,LC near Thuruthy,9.484648,76.5296215,,Thuruthy,Kottayam
node/306148862,LC near Nalukody (thengana naalukodi),9.4197592,76.5591074,thengana naalukodi,Nalukody,Kottayam
node/306253855,LC near Ettumanoor (Anamala - Kanakkari Road),9.6870888,76.5444853,Anamala - Kanakkari Road,Ettumanoor,Kottayam
node/306604213,LC near Changanassery,9.4688629,76.5377951,,Changanassery,Kottayam
node/331172538,LC near Varkala (Varkala - Edava - Kappil Bridge Approach Road),8.7641225,76.6967103,Varkala - Edava - Kappil Bridge Approach Road,Varkala,Thiruvananthapuram
node/334544617,LC near Andamukkam (Public Library YMCA Road),8.8840366,76.591496,Public Library YMCA Road,Andamukkam,Kollam
node/334641063,LC near Melvettoor (Varkala-Paripally Road),8.742898,76.7216368,Varkala-Paripally Road,Melvettoor,Thiruvananthapuram
node/334641214,LC near Varkala (Varkala - Edava - Kappil Bridge Approach Road),8.7528517,76.7096058,Varkala - Edava - Kappil Bridge Approach Road,Varkala,Thiruvananthapuram
node/334641271,LC near Varkala (Varkala - Edava - Kappil Bridge Approach Road),8.7616134,76.6997018,Varkala - Edava - Kappil Bridge Approach Road,Varkala,Thiruvananthapuram
node/334651976,LC near Nedungolam,8.8129774,76.6751109,,Nedungolam,Kollam
node/334652219,LC near Mayyanad (Kottiyam mayyanad road),8.8329922,76.6510318,Kottiyam mayyanad road,Mayyanad,Kollam
node/334652416,LC near Mayyanad (Kottiyam Mayyanad Road),8.8542031,76.6377067,Kottiyam Mayyanad Road,Mayyanad,Kollam
node/334652535,LC near Eravipuram (Thattamala-thirumukku road),8.8630748,76.6299467,Thattamala-thirumukku road,Eravipuram,Kollam
node/334662852,LC near Cheriyanad (Cheriyanad - Ala - Madathumpady Road),9.2766405,76.585352,Cheriyanad - Ala - Madathumpady Road,Cheriyanad,Alappuzha
node/334666170,LC near Thazhava (kanjirappally- sasthampoika road),9.0971069,76.5353299,kanjirappally- sasthampoika road,Thazhava,Kollam
node/334666175,LC near Karunagapally (Puthiyakavu - Chakuvally Road),9.0770117,76.5412587,Puthiyakavu - Chakuvally Road,Karunagapally,Kollam
