train_number,train_name,station_code,station_name,arrival_time,departure_time,distance_km,day_of_journey,runs_on_days
16605,Mangala Lakshadweep Exp,MJS,Manjeshwar,--,06:02,0.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,UAA,Uppala,06:08,06:10,6.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KMQ,Kumbla,06:21,06:23,16.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KGQ,Kasargod,06:36,06:38,28.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KQK,Kottikkulam,06:48,06:50,36.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,BFR,Bekal Fort,06:55,06:57,41.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,NLE,Nileshwar,07:16,07:18,59.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CHV,Cheruvattur,07:23,07:25,64.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TKQ,Trikaripur,07:34,07:36,72.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,ELM,Elimala,07:47,07:49,82.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PAZ,Payangadi,07:56,07:58,88.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KPQ,Kannapuram,08:06,08:08,95.8,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PPNS,Pappinisseri,08:14,08:16,101.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,VAPM,Valapattanam,08:18,08:20,103.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CAN,Kannur,08:27,08:29,109.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CS,Kannur South,08:33,08:35,113.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,ETK,Etakkot,08:44,08:46,121.8,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TLY,Thalassery,08:55,08:57,129.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,JGE,Jagannath Temple Gate,09:00,09:02,132.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MAHE,Mahé,09:08,09:10,138.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,BDJ,Vadakara railway station,09:24,09:26,150.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PYOL,Payyoli,09:36,09:38,159.8,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TKT,Tikkotti,09:41,09:43,163.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,QLD,Quilandi,09:53,09:55,171.8,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CMC,Chemancheri,10:01,10:03,177.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,ETR,Elattur,10:10,10:12,184.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,WH,West Hill,10:20,10:22,191.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CLT,Kozhikode,10:27,10:29,196.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KUL,Kallayi,10:31,10:33,197.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,FK,Ferok,10:42,10:44,205.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KN,Kadalundi,10:49,10:51,210.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,VLI,Vallikunnu,10:57,10:59,215.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PGI,Parappanangadi,11:04,11:06,220.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TA,Tanur,11:15,11:17,228.6,1,MTWTFSS
